年級,科目名稱,每週節數,特殊教室
1,國語,5,
1,數學,4,
1,生活,5,
1,健康,1,
1,體育,2,
1,藝(音),1,音樂
1,閱讀,1,
1,本土,1,
1,校本,2,
1,彈(英),1,
2,國語,5,
2,數學,4,
2,生活,5,
2,健康,1,
2,體育,2,
2,藝(音),1,音樂
2,閱讀,1,
2,本土,1,
2,校本,2,
2,彈(英),1,
3,國語,4,
3,數學,4,
3,社會,3,
3,自然,3,自然
3,健康,1,
3,體育,2,
3,綜合,2,
3,藝(美),2,
3,藝(音),1,音樂
3,閱讀,1,
3,本土,1,
3,英文,1,英文
3,校本,2,
3,彈(英),1,英文
3,彈(資),1,科技
4,國語,4,
4,數學,4,
4,社會,3,
4,自然,3,自然
4,健康,1,
4,體育,2,
4,綜合,2,
4,藝(美),2,
4,藝(音),1,音樂
4,閱讀,1,
4,本土,1,
4,英文,1,英文
4,校本,2,
4,彈(英),1,英文
4,彈(資),1,科技
5,國語,4,
5,數學,4,
5,社會,3,
5,自然,3,自然
5,健康,1,
5,體育,2,
5,綜合,2,
5,藝(美),2,
5,藝(音),1,音樂
5,閱讀,1,
5,本土,1,
5,英文,2,英文
5,校本,3,
5,彈(英),1,英文
5,彈(資),2,科技
6,國語,4,
6,數學,4,
6,社會,3,
6,自然,3,自然
6,健康,1,
6,體育,2,
6,綜合,2,
6,藝(美),2,
6,藝(音),1,音樂
6,閱讀,1,
6,本土,1,
6,英文,2,英文
6,校本,3,
6,彈(英),1,英文
6,彈(資),2,科技
