年級,科目名稱,每週節數,特殊教室,導師主要科目,領域,連排方式
1,國語文,5,,是,語文,
1,閱讀,1,圖書館,否,語文,
1,本土語文,1,,否,語文,
1,數學,4,,是,,
1,生活,5,,是,,
1,藝術(音樂),1,音樂教室,否,,
1,健康,1,,否,,
1,體育,2,,否,,
1,校本走讀,1,,是,,
1,國際移動力,1,,否,英語文,
1,科園大小事,1,,是,,
2,國語文,5,,是,語文,
2,閱讀,1,圖書館,否,語文,
2,本土語文,1,,否,語文,
2,數學,4,,是,,
2,生活,5,,是,,
2,藝術(音樂),1,音樂教室,否,,
2,健康,1,,否,,
2,體育,2,,否,,
2,校本走讀,1,,是,,
2,國際移動力,1,,否,英語文,
2,科園大小事,1,,是,,
3,國語文,4,,是,語文,
3,閱讀,1,圖書館,是,語文,
3,本土語文,1,,否,語文,
3,英語文,1,英語教室,否,英語文,
3,數學,4,,是,,
3,社會,3,,否,,部分連排
3,自然科學,3,自然教室A,否,,部分連排
3,藝術(音樂),1,音樂教室,否,,
3,藝術(美勞),2,,是,,全部連排
3,綜合活動,2,,是,,
3,健康,1,,是,,
3,體育,2,,否,,
3,校本走讀,1,,是,,
3,國際移動力,1,英語教室,否,英語文,
3,資智通鑑,1,科技教室,否,,
3,科園大小事,1,,是,,
4,國語文,4,,是,語文,
4,閱讀,1,圖書館,是,語文,
4,本土語文,1,,否,語文,
4,英語文,1,英語教室,否,英語文,
4,數學,4,,是,,
4,社會,3,,否,,部分連排
4,自然科學,3,自然教室B,否,,部分連排
4,藝術(音樂),1,音樂教室,否,,
4,藝術(美勞),2,,是,,全部連排
4,綜合活動,2,,是,,
4,健康,1,,是,,
4,體育,2,,否,,
4,校本走讀,1,,是,,
4,國際移動力,1,英語教室,否,英語文,
4,資智通鑑,1,科技教室,否,,
4,科園大小事,1,,是,,
5,國語文,4,,是,語文,
5,閱讀,1,圖書館,是,語文,
5,本土語文,1,,否,語文,
5,英語文,2,英語教室,否,英語文,全部連排
5,數學,4,,是,,
5,社會,3,,否,,部分連排
5,自然科學,3,自然教室A,否,,部分連排
5,藝術(音樂),1,音樂教室,否,,
5,藝術(美勞),2,,是,,全部連排
5,綜合活動,2,,是,,
5,健康,1,,否,,
5,體育,2,,否,,
5,校本走讀,1,,是,,
5,國際移動力,1,英語教室,否,英語文,
5,玩轉魔數,1,,是,,
5,資智通鑑,2,科技教室,否,,全部連排
5,科園大小事,1,,是,,
6,國語文,4,,是,語文,
6,閱讀,1,圖書館,是,語文,
6,本土語文,1,,否,語文,
6,英語文,2,英語教室,否,英語文,全部連排
6,數學,4,,是,,
6,社會,3,,否,,部分連排
6,自然科學,3,自然教室B,否,,部分連排
6,藝術(音樂),1,音樂教室,否,,
6,藝術(美勞),2,,是,,全部連排
6,綜合活動,2,,是,,
6,健康,1,,否,,
6,體育,2,,否,,
6,自主學習,1,,是,,
6,國際移動力,1,英語教室,否,英語文,
6,玩轉魔數,1,,是,,
6,資智通鑑,2,科技教室,否,,全部連排
6,科園大小事,1,,是,,
